YBL002w|550.2.507|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL002w|550.2.529|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL002w|550.2.534|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL002w|550.2.535|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL002w|550.2.56|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL003c|320||
YBL003c|550.1.125|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL003c|550.1.144|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL003c|550.1.208|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL003c|550.2.146|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL003c|550.2.233|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL003c|550.2.278|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL003c|550.2.534|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL004w|550.1.104|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL004w|550.1.108|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL004w|550.1.109|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL004w|550.1.125|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL004w|550.1.140|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL004w|550.1.141|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL004w|550.1.142|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL004w|550.1.144|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL004w|550.1.149|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL004w|550.1.197|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL004w|550.1.204|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL004w|550.2.22|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL004w|550.2.322|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL004w|550.2.413|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL004w|550.2.447|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL004w|550.2.507|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL007c|140.20.20||
YBL007c|550.1.18|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL007c|550.2.155|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL007c|550.2.156|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL008w|550.2.150|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL014c|510.20||
YBL015w|550.2.267|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL015w|550.2.299|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL015w|550.2.317|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL015w|550.2.342|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL016w|470.20||
YBL016w|550.2.194|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL016w|550.2.290|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL017c|550.1.227|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL017c|550.2.155|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL017c|550.2.156|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL017c|550.3.72|901.01.01.01,902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|14759368
YBL018c|440.12.20||
YBL018c|440.14.10||
YBL018c|550.1.154|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL021c|510.160||
YBL021c|550.1.217|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL021c|550.2.124|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL022c|350.10.20||
YBL022c|550.1.62|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL022c|550.2.152|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL022c|550.2.370|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL022c|550.2.518|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL023c|410.30||
YBL023c|410.35||
YBL023c|550.1.10|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL023c|550.1.29|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL023c|550.2.82|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL024w|550.1.152|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL025w|510.30||
YBL026w|550.1.138|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL026w|550.1.147|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL026w|550.2.163|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL026w|550.2.165|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL026w|550.2.22|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL026w|550.2.507|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL027w|500.40.10||
YBL029w|550.2.26|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL030c|550.2.111|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL030c|550.2.146|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL030c|550.2.339|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL032w|550.1.142|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL034c|140.30.20||
YBL034c|480.20||
YBL034c|550.2.17|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL034c|550.3.23|901.01.01.01,902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|14759368
YBL035c|410.40.60||
YBL035c|550.1.211|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL035c|550.1.228|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL036c|550.2.427|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL037w|260.20.20||
YBL037w|550.1.78|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL038w|500.60.10|901.01.01.01|12392552
YBL038w|550.1.108|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL039c|132||
YBL039c|550.1.41|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL039c|550.2.23|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL039c|550.2.329|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL039c|550.2.384|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL039c|550.2.470|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL039c|550.3.88|901.01.01.01,902.01.01.02.01.01.02,902.01.01.04.01.02,902.01.01.04.01.03,902.01.09.02|14759368
YBL041w|360.10.10||
YBL041w|550.1.110|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL041w|550.1.111|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL041w|550.1.170|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL041w|550.2.238|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL041w|550.3.60|901.01.01.01,902.01.01.02.01.01.02,902.01.01.04.01.02,902.01.01.04.01.03,902.01.09.02|14759368
YBL044w|550.1.96|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL044w|550.2.22|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL044w|550.2.507|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL045c|420.30||
YBL045c|550.1.46|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL045c|550.2.132|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL045c|550.2.186|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL045c|550.2.218|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL045c|550.2.328|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL045c|550.2.339|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL045c|550.2.342|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL045c|550.2.351|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL045c|550.2.363|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL045c|550.2.364|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL045c|550.2.370|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL045c|550.2.389|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL045c|550.2.458|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL045c|550.2.497|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL045c|550.2.70|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL046w|550.1.169|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL046w|550.2.234|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL047c|550.1.20|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL047c|550.2.132|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL047c|550.2.133|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL047c|550.2.279|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL047c|550.2.534|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL047c|550.2.535|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL047c|550.2.62|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL049w|550.2.428|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL049w|550.2.438|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL049w|550.2.463|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL049w|550.2.480|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL050w|260.40||
YBL050w|550.1.71|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL051c|550.1.131|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL051c|550.2.132|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL056w|550.1.176|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
